app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
aydiler,ordinary-5k.md,4,window-observed,19.09,227.871,314.277,1,0.0,1.008,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,stress-2m.md,2,window-observed,18.251,51.359,68.359,1,0.0,1.0082,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,stress-2m.md,1,window-observed,18.878,990.883,1093.031,1,0.0,1.0076,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
md-preview,stress-2m.md,2,window-observed,18.824,0.0,0.0,0,0.0,1.007,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marktext,stress-2m.md,3,window-observed,386.251,495.859,326.848,5,1005.708,1.0099,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,ordinary-5k.md,4,window-observed,18.323,134.832,160.836,1,961.31,1.0077,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,ordinary-5k.md,1,window-observed,18.534,45.609,60.215,1,0.0,1.008,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,stress-2m.md,5,window-observed,19.338,0.0,0.0,0,0.0,1.0081,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,gfm-math-images-100k.md,5,window-observed,19.337,46.828,62.758,1,0.0,1.0083,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,ordinary-5k.md,3,window-observed,422.337,481.039,306.695,5,0.0,1.0084,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,1,window-observed,17.882,228.664,315.191,1,0.0,1.0078,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,1,window-observed,479.789,480.098,306.473,5,0.0,1.0083,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,stress-2m.md,4,window-observed,203.299,996.301,995.84,1,991.322,1.0088,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,gfm-math-images-100k.md,3,window-observed,17.985,168.98,198.48,1,1005.797,1.0098,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,1,window-observed,188.734,137.641,177.102,1,0.0,1.0079,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,stress-2m.md,1,window-observed,18.016,0.0,0.0,0,0.0,1.0076,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marktext,gfm-math-images-100k.md,3,window-observed,397.896,632.914,459.156,5,15.499,1.0081,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,2,window-observed,18.644,46.781,62.043,1,0.0,1.0078,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,ordinary-5k.md,4,window-observed,404.018,475.633,302.066,5,0.0,1.0079,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,gfm-math-images-100k.md,4,window-observed,19.273,631.273,452.035,7,77.468,1.0085,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,4,window-observed,192.92,288.09,344.301,1,0.0,1.0081,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,stress-2m.md,4,window-observed,19.562,51.285,69.504,1,0.0,1.0074,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,stress-2m.md,1,window-observed,18.552,51.59,68.695,1,0.0,1.0084,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,stress-2m.md,5,window-observed,18.818,986.816,1087.945,1,0.0,1.0076,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
md-preview,stress-2m.md,3,window-observed,19.087,0.0,0.0,0,0.0,1.0077,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,stress-2m.md,3,window-observed,19.138,996.109,1103.887,1,0.0,1.0082,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
md-preview,ordinary-5k.md,3,window-observed,19.081,419.848,238.426,7,46.508,1.0079,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,ordinary-5k.md,2,window-observed,196.252,136.891,176.434,1,0.0,1.008,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,stress-2m.md,3,window-observed,200.882,1007.684,1008.449,1,990.226,1.0099,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,ordinary-5k.md,5,window-observed,18.699,45.645,61.902,1,15.492,1.0086,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,ordinary-5k.md,5,window-observed,18.883,417.391,235.684,7,15.488,1.0088,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,3,window-observed,18.552,229.426,315.797,1,0.0,1.0081,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,5,window-observed,395.35,477.82,303.117,5,0.0,1.0088,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,stress-2m.md,2,window-observed,18.027,682.562,748.078,1,989.432,1.0107,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
mdview-zig,stress-2m.md,5,window-observed,19.639,51.477,67.172,1,0.0,1.0084,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,ordinary-5k.md,2,window-observed,18.017,134.77,161.309,1,1006.401,1.0092,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,gfm-math-images-100k.md,2,window-observed,189.14,288.387,346.426,1,0.0,1.008,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,4,window-observed,18.855,45.598,60.867,1,0.0,1.0077,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,images.md,5,window-observed,21.339,91.504,204.875,1,1005.589,1.01,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,5,window-observed,525.445,464.891,292.922,5,15.501,1.008,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,3,window-observed,21.575,215.531,283.297,1,0.0,1.0095,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,5,window-observed,23.327,214.613,281.02,1,15.499,1.0081,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
