app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
markmello,ordinary-5k.md,5,window-observed,306.36,134.984,176.238,1,0.0,1.0104,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,gfm-math-images-100k.md,2,window-observed,231.546,285.566,331.402,1,0.0,1.0111,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,3,window-observed,482.65,810.434,808.027,4,231.916,1.0106,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,2,window-observed,615.213,628.152,462.621,5,0.0,1.0106,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,ordinary-5k.md,4,window-observed,522.265,460.312,435.375,4,0.0,1.0137,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marklite,ordinary-5k.md,3,window-observed,1176.584,144.137,239.891,1,0.0,1.0112,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,gfm-math-images-100k.md,2,window-observed,20.705,256.336,342.965,1,0.0,1.0109,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,gfm-math-images-100k.md,2,window-observed,385.706,678.695,550.176,5,0.0,1.0117,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,4,window-observed,38.962,138.715,167.367,1,0.0,1.0121,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
moji,gfm-math-images-100k.md,4,window-observed,509.362,603.648,509.566,4,15.444,1.0117,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,gfm-math-images-100k.md,2,window-observed,342.916,2219.055,1923.801,11,1402.475,1.0138,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,gfm-math-images-100k.md,5,window-observed,353.182,2321.238,2007.324,11,864.256,1.0124,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marklite,gfm-math-images-100k.md,5,window-observed,1199.881,151.734,244.891,1,15.449,1.0114,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,4,window-observed,24.974,42.406,60.891,1,0.0,1.0102,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
moji,ordinary-5k.md,2,window-observed,478.892,434.137,335.598,4,30.892,1.0116,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markpad,ordinary-5k.md,2,window-observed,21.936,441.0,271.312,7,0.0,1.0108,8cbde9e19bc01fad952f7f3b3276ebc003ac963483334f64f9f1c95be4b146b7,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,ordinary-5k.md,3,window-observed,23.669,42.371,59.207,1,0.0,1.0112,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,gfm-math-images-100k.md,2,window-observed,23.346,139.004,169.117,1,0.0,1.0116,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,5,window-observed,462.394,776.949,769.188,4,0.0,1.0109,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,ordinary-5k.md,2,window-observed,560.807,456.828,435.18,4,0.0,1.0106,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
md-preview,gfm-math-images-100k.md,3,window-observed,56.291,532.836,361.48,7,123.649,1.0109,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
