app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
marky,images.md,3,window-observed,64.252,674.129,382.695,3,782.484,1.0096,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,2,window-observed,504.556,2029.402,524.105,10,19.482,1.0266,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,4,window-observed,316.55,307.566,299.586,1,0.0,1.015,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marky,images.md,2,window-observed,105.974,667.633,377.945,3,827.681,1.0149,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,2,window-observed,597.503,739.656,205.27,5,9.884,1.0117,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,1,exited--11,,0.0,0.0,0,0.0,1.0028,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,2,window-observed,91.694,561.977,280.465,3,762.143,1.0103,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
marktext,images.md,3,window-observed,575.297,745.074,204.691,5,9.746,1.0261,6d2a2ce754b755637076692a502cd29165d80d1b773d5b5482f4bfccf76a2acf,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
markmello,images.md,2,window-observed,277.893,224.535,219.082,1,0.0,1.0086,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
obsidian,images.md,3,window-observed,618.038,751.891,295.703,6,9.873,1.0129,4d5379efcd4909bc9a9bff25636d9ef39ee4677cc83af9d285d7d89792015739,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
aydiler,images.md,1,window-observed,381.426,307.543,297.887,1,0.0,1.0046,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
md-preview,images.md,4,window-observed,89.76,560.465,277.359,3,880.196,1.0111,06dc8f0622977971d368cd3243913f0c5502bb399802a429130bb1e0b53f2b87,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
fmv,images.md,1,window-observed,111.273,165.812,158.734,1,2187.876,1.0055,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
mdview-zig,images.md,4,exited--11,,0.0,0.0,0,0.0,1.0046,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
vscode-preview,images.md,4,window-observed,543.172,1984.398,503.168,10,850.429,1.023,5dcf32d814a227f8626426e00708caa6c8f5469980322265a1c398a6458082bc,5f37ffbf6cb09651723b404787caceef0c0a981b942242ae98566e4e034c9a1f
