app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
vscode-preview,ordinary-5k.md,2,window-observed,334.456,1943.301,1638.285,11,1638.813,1.0106,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
markmello,ordinary-5k.md,4,window-observed,262.196,138.258,191.168,1,0.0,1.01,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv,gfm-math-images-100k.md,2,window-observed,21.744,138.688,168.984,1,0.0,1.0096,03f5bbbbf613105a32c1d681080c69ac52730fc60af90cb707bd7dcfbdd80970,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv-0.2.1,gfm-math-images-100k.md,2,window-observed,38.117,138.359,168.52,1,0.0,1.009,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,1,window-observed,519.764,697.918,584.309,5,0.0,1.0094,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,1,window-observed,24.116,44.754,61.883,1,0.0,1.0095,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,4,window-observed,473.156,497.5,382.168,5,0.0,1.0102,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,gfm-math-images-100k.md,3,window-observed,536.959,695.246,578.027,5,0.0,1.0101,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,gfm-math-images-100k.md,1,window-observed,392.603,680.473,551.363,5,0.0,1.0099,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,2,window-observed,20.301,44.48,61.105,1,15.488,1.0088,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,gfm-math-images-100k.md,5,window-observed,363.808,2093.371,1800.098,11,324.864,1.01,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,5,window-observed,20.932,45.543,62.125,1,0.0,1.0091,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,ordinary-5k.md,4,window-observed,294.984,1944.68,1654.797,11,665.16,1.0101,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,ordinary-5k.md,3,window-observed,510.617,496.875,384.789,5,15.488,1.0088,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
aydiler,ordinary-5k.md,4,window-observed,39.263,227.465,315.121,1,0.0,1.0095,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,gfm-math-images-100k.md,1,window-observed,280.677,2258.391,1927.809,14,602.457,1.0115,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,ordinary-5k.md,5,window-observed,21.592,127.129,153.953,1,0.0,1.0099,03f5bbbbf613105a32c1d681080c69ac52730fc60af90cb707bd7dcfbdd80970,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,ordinary-5k.md,4,window-observed,19.456,127.258,155.113,1,0.0,1.0088,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
