renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
selkie-text,chain-200.mmd,ok,0,30896128,render_ms=33.138 font_ms=0.720 raster_ms=20.984 pipeline_ms=54.936 svg_bytes=105544 width=86 height=20629,,1
selkie-text,chain-2000.mmd,aborted,-1073740791,22294528,,"thread 'main' (30420) panicked at C:\Users\theco\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\selkie-rs-0.3.0\src\layout\dagre\rank\network_simplex.rs:360:9:
dfs_assign recursion overflow: counter=1001, v=N1001, parent=Some(""N1000"")
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",1
selkie-text,class.mmd,ok,0,10502144,render_ms=0.927 font_ms=0.730 raster_ms=1.161 pipeline_ms=2.910 svg_bytes=6080 width=142 height=320,,1
selkie-text,er.mmd,ok,0,11059200,render_ms=0.930 font_ms=0.622 raster_ms=1.488 pipeline_ms=3.135 svg_bytes=5947 width=252 height=403,,1
selkie-text,flowchart.mmd,ok,0,11190272,render_ms=5.676 font_ms=0.619 raster_ms=1.113 pipeline_ms=7.549 svg_bytes=4862 width=494 height=126,,1
selkie-text,gantt.mmd,ok,0,10940416,render_ms=2.804 font_ms=0.605 raster_ms=2.421 pipeline_ms=5.993 svg_bytes=6652 width=784 height=148,,1
selkie-text,gitgraph.mmd,ok,0,2686976,render_ms=1.068 font_ms=0.611 raster_ms=1.219 pipeline_ms=2.983 svg_bytes=6003 width=282 height=205,,1
selkie-text,invalid-trailing.mmd,ok,0,11767808,render_ms=2.735 font_ms=0.678 raster_ms=1.266 pipeline_ms=4.766 svg_bytes=4742 width=234 height=583,,1
selkie-text,invalid.mmd,error,2,5443584,,ERROR: Unknown diagram type: Could not detect diagram type,1
selkie-text,labels.mmd,ok,0,11284480,render_ms=2.430 font_ms=0.607 raster_ms=1.226 pipeline_ms=4.355 svg_bytes=3545 width=504 height=106,,1
