variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
fat-3,gfm-math-images-100k.md,10,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.4376,46.0555,8358.706
baseline,ordinary-5k.md,12,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7331,0.9586,4500
fat-z,gfm-math-images-100k.md,8,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,20.6073,70.3775,8358.706
fat-s,gfm-math-images-100k.md,10,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,15.0587,24.0764,8358.706
fat-3,gfm-math-images-100k.md,1,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.433,24.1101,8358.706
fat-z,gfm-math-images-100k.md,1,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,19.6092,44.6891,8358.706
baseline,gfm-math-images-100k.md,10,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.4789,38.6285,8358.706
baseline,ordinary-5k.md,11,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7716,1.0869,4500
fat-z,ordinary-5k.md,2,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0707,4.9372,4500
baseline,ordinary-5k.md,8,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9144,3.0796,4500
fat-3,ordinary-5k.md,2,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7628,1.0571000000000002,4500
fat-z,ordinary-5k.md,5,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1326,5.8068,4500
fat-s,gfm-math-images-100k.md,12,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,17.6272,65.1564,8358.706
fat-3,gfm-math-images-100k.md,13,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.6612,32.308299999999996,8358.706
fat-s,gfm-math-images-100k.md,6,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,15.1379,45.4809,8358.706
baseline,ordinary-5k.md,9,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7955,1.3049,4500
fat-z,gfm-math-images-100k.md,3,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,19.8656,55.9715,8358.706
fat-s,gfm-math-images-100k.md,7,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.7988,42.6705,8358.706
fat-s,ordinary-5k.md,6,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9322999999999999,5.0356000000000005,4500
fat-3,gfm-math-images-100k.md,14,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.2202,36.070100000000004,8358.706
baseline,ordinary-5k.md,7,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.756,4.3377,4500
fat-s,ordinary-5k.md,1,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9133,2.2242,4500
fat-3,ordinary-5k.md,6,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7573000000000001,1.0869,4500
baseline,ordinary-5k.md,2,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8487,1.289,4500
baseline,gfm-math-images-100k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.458,41.8765,8358.706
fat-z,ordinary-5k.md,10,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0434999999999999,4.3832,4500
fat-s,gfm-math-images-100k.md,14,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,26.446299999999997,55.830400000000004,8358.706
fat-z,ordinary-5k.md,14,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0956,3.629,4500
baseline,ordinary-5k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8245,1.3195999999999999,4500
fat-z,ordinary-5k.md,9,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.2944,4.471,4500
baseline,ordinary-5k.md,14,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0412,3.9406,4500
fat-z,gfm-math-images-100k.md,10,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,19.7833,57.2152,8358.706
fat-3,ordinary-5k.md,11,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8811,1.8458,4500
fat-z,ordinary-5k.md,11,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.976,3.7239999999999998,4500
fat-z,gfm-math-images-100k.md,7,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,20.2815,53.8758,8358.706
fat-s,ordinary-5k.md,5,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1661,2.2887,4500
fat-3,gfm-math-images-100k.md,5,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,18.3147,44.3939,8358.706
